Short Description,Type,Value,Link,GitHub Owner
Z3 fuzzer testing validity of symbolic rewrite rules,Feature,$500,,S-Lykles
Rockchip RK3588 RKNN NPU backend passing all ops tests,Feature,$500,,
Flash attention in tinygrad that outperforms normal attention for BERT training run,Feature,$500,,
Run unsigned firmware on 7900XTX from our driver,Feature,$500,,
"Move topk, _index_put_impl_, index_tensor, masked_select, and randperm_generator off of cpu in torch_backend",Torch,$200,,
hlb-CIFAR10 works with tiny torch backend,Torch,$200,,
"beautiful_mnist_torch uses torch.compile TinyJIT working with TINY_BACKEND=1, see test_compile.py",Torch,$300,,
gpt-fast outperforming default AMD backend with our torch backend with AM driver (compile + beam),Torch,$400,,
MultiGPU training works with tiny torch backend,Torch,$500,https://github.com/tinygrad/tinygrad/pull/9317,tocubed
2x matching engine speed (400ms -> 200ms) external_benchmark_schedule.py,Speed,"$1,000",https://github.com/tinygrad/tinygrad/pull/9737,geohot
4x matching engine speed (200ms -> 100ms),Speed,"$1,000",,geohot
8x matching engine speed (100ms -> 50ms),Speed,"$1,000",,geohot
FP8 support on NVIDIA (with Tensor Cores),Feature,$300,https://github.com/tinygrad/tinygrad/pull/8631,pkotzbach
AMD LLVM 5%+ faster kernel time for BERT MLPerf (and we use it for our submission),Feature,$250,https://github.com/tinygrad/tinygrad/pull/9680,b1tg
"Complete z3 index (including mask) validation, behind a flag",Feature,$300,https://github.com/tinygrad/tinygrad/pull/9774,S-Lykles
Fast OLMoE in tinygrad (50%+ of theoretical max on M3 Max),Upgrade,$300,https://github.com/tinygrad/tinygrad/pull/9625,geohotstan
(mlperf) Training RetinaNet (double bounty if it gets on MLPerf!),MLPerf,"$1,000",https://github.com/tinygrad/tinygrad/pull/8385,francislata
(mlperf) RetinaNet on mlperf training 5.0,MLPerf,$300,,francislata
"WebGPU export_model in main tinygrad (very clean and documented code + docs to use, $2k to be split as they choose)",Refactor,"$2,000",https://github.com/tinygrad/tinygrad/pull/9424,wpmed / hooved
"Make sure buffers are GCed on CPU and with VIZ, with good tests",Bugfix,$200,,
Llama 4 Scout running on a tinybox at 100+ tok/s,Feature,$500,,
Training ResNet and BERT through CLOUD=1 on single machine with similar speed (within 5%),Feature,$500,,uuuvn
Training ResNet and BERT on 3 GPUs across 2 machines getting 80%+ of same machine speed with only cloud server running on one,Feature,"$1,000",https://github.com/tinygrad/tinygrad/pull/9746,uuuvn
